naam,locatie,prijs,beoordeling
Hotel Monastère Maastricht,"Boschstraatkwartier, Maastricht",78,"8,0"
Bastion Hotel Maastricht Centrum,"Boschstraatkwartier, Maastricht",71,"7,0"
Mabi City Centre Hotel,"Boschstraatkwartier, Maastricht",83,"8,1"
KABOOM Maastricht,"Wyck, Maastricht",75,"7,9"
Zenden Hotel Maastricht,"Centrum Maastricht, Maastricht",80,"8,2"
Buitenplaats Vaeshartelt,Maastricht,89,"8,2"
The Social Hub Maastricht,"Boschstraatkwartier, Maastricht",83,"8,3"
The Green Elephant Hostel & Spa,"Wyck, Maastricht",47,"8,1"
Maison Haas Hustinx & Spa,"Centrum Maastricht, Maastricht",135,"8,8"
Alex Maastricht,"Wyck, Maastricht",82,"8,5"
Townhouse Apartments Maastricht,"Wyck, Maastricht",87,"8,1"
Boutique Hotel Grote Gracht,"Statenkwartier, Maastricht",87,"7,4"
Crowne Plaza Maastricht,"Wyck, Maastricht",131,"7,5"
The Dutch Maastricht,"Wyck, Maastricht",87,"8,2"
Designhotel Maastricht,"Wyck, Maastricht",96,"8,0"
Amrâth Hotel DuCasque,"Centrum Maastricht, Maastricht",92,"7,5"
Le Theatre,"Centrum Maastricht, Maastricht",140,"8,4"
Hotel Van der Valk Maastricht,Maastricht,155,"8,4"
"Fitz Roy Urban Hotel, Bar and Garden","Boschstraatkwartier, Maastricht",140,"8,5"
Amrâth Grand Hotel de l’Empereur,"Wyck, Maastricht",102,"7,4"
Novotel Maastricht,Maastricht,101,"7,7"
Amrâth Hotel Bigarré,"Boschstraatkwartier, Maastricht",80,"7,8"
easyHotel Maastricht City Centre,"Centrum Maastricht, Maastricht",68,"7,8"
BEAUMONT Maastricht,"Wyck, Maastricht",145,"8,5"
Townhouse Design Hotel & Spa,"Wyck, Maastricht",87,"7,9"
Le Theatre,"Centrum Maastricht, Maastricht",140,"8,4"
Amrâth Hotel Bigarré,"Boschstraatkwartier, Maastricht",80,"7,8"
B&B De Hofnar Maastricht,"Centrum Maastricht, Maastricht",65,"8,0"
Landgoed Kasteel de Hoogenweerth,"Heugum, Maastricht",127,"8,5"
Kruisherenhotel Maastricht,"Kommelkwartier, Maastricht",285,"8,7"
BEAUMONT Maastricht,"Wyck, Maastricht",145,"8,5"
Derlon Hotel Maastricht,"Centrum Maastricht, Maastricht",212,"7,6"
The Dutch Maastricht,"Wyck, Maastricht",87,"8,2"
Hotel Beez,"Boschstraatkwartier, Maastricht",75,"7,4"
Le Virage bistro en hotel,"Centrum Maastricht, Maastricht",98,"8,3"
Novotel Maastricht,Maastricht,101,"7,7"
Saillant Hotel Maastricht City Centre - Auping Hotel Partner,"Centrum Maastricht, Maastricht",83,"6,9"
Hotel Britannique,"Centrum Maastricht, Maastricht",260,"8,4"
Dormio Resort Maastricht Apartments,Maastricht,230,"8,3"
Hotel Restaurant in den Hoof,Maastricht,99,"8,1"
Hotel Botticelli,"Centrum Maastricht, Maastricht",110,"8,6"
Urban Residences Maastricht,"Centrum Maastricht, Maastricht",141,"8,6"
Dormio Resort Maastricht,Maastricht,283,"8,1"
Dormio Resort Maastricht Castellum Apartments,Maastricht,308,"8,6"
Hotel Sansa,"Wyck, Maastricht",57,"5,2"
Stadsherberg de Poshoorn,"Wyck, Maastricht",87,"8,0"
Artagnan,"Kommelkwartier, Maastricht",116,"8,8"
Het Harlekijntje,"Kommelkwartier, Maastricht",124,"9,1"
Bouteaque Hotel,"Centrum Maastricht, Maastricht",135,"8,7"
Chez Hélène Luxury BNB,Maastricht,125,"8,4"
Hotel Sansa,"Wyck, Maastricht",57,"5,2"
Hotel Matuchi,"Boschstraatkwartier, Maastricht",71,"7,6"
Artagnan,"Kommelkwartier, Maastricht",116,"8,8"
Chez Hélène Luxury BNB,Maastricht,125,"8,4"
Chambres D'Hotes Rekko,"Jekerkwartier, Maastricht",139,"8,9"
BE41 Boutique Hotel,"Centrum Maastricht, Maastricht",114,"8,8"
Hotel Pastis,"Villa Park, Maastricht",119,"8,8"
"Suite "" Mon Rêve ""","Centrum Maastricht, Maastricht",169,"9,5"
B&B Gracht 62,"Statenkwartier, Maastricht",172,"9,1"
Sharon's Studio Blue,Maastricht,94,"8,8"
B&B Maas en Heuvel Maastricht,Maastricht,113,"8,4"
Bourgogne Suite Maastricht,"Wyck, Maastricht",330,"9,0"
Hallo Maastricht B&B Fientje,Maastricht,144,"9,0"
"city Apartment ""Op de Thermen""","Centrum Maastricht, Maastricht",325,"9,0"
